BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
101,-3.21511035,0.085125747,1.053821792,30.7,93.90692
102,-8.93951112,0.046488549,1.164128864,29,93.2117538
103,-3.801041872,0.070424056,0.942265264,26.9,105.086006
104,-0.136627963,0.453501868,0.913191617,23.5,106.839233
105,-1.474275797,0.071969845,1.022128944,27.8,109.187187
106,-5.302415596,0.06104161,0.96714495,22.8,107.013855
107,-3.143827059,0.069425191,0.871737105,23.5,106.088615
108,-4.8950193,0.060380168,0.913586276,28.1,106.462013
109,-4.663052015,0.069548162,0.996885758,23.8,107.9679
110,-2.881710662,0.078962936,0.858013954,23.7,109.610725
111,-5.342513436,0.066079221,0.940931698,22.3,111.257927
112,-0.360689664,0.557660006,0.811990464,22,108.456177
113,-5.471066046,0.064621791,0.968100669,23.5,111.314262
114,-6.015212728,0.056991984,0.938215597,27.4,111.34063
115,-5.291755138,0.065658801,1.047670984,27.6,113.12677
116,-2.539148476,0.073280176,0.867874703,23.3,104.278023
117,-3.877047792,0.064666718,0.981586173,27,105.359383
118,-1.450992391,0.167358292,0.988714992,26.6,85.18782
119,-0.281386992,0.524918593,0.754246968,24.7,95.1793442
120,-2.835729339,0.064974304,1.15161563,28,109.489647
121,-0.241189027,0.509537413,0.763892874,20.5,102.845345
122,-4.792995918,0.083279441,0.659004547,25.1,85.1737442
123,-5.286639987,0.055623209,1.352867897,30.5,95.17621
124,-2.597306032,0.083703554,0.893196494,25.5,85.17604
125,-3.287588886,0.065140641,0.765241118,23.1,85.21317
126,-4.821696346,0.067771697,0.825332191,27.9,88.0751648
127,-2.583401719,0.080197209,0.8878213,24.7,90.2301559
128,-4.322023333,0.074591239,0.956004693,30.7,95.06449
129,-4.384997918,0.062726468,0.956780584,27.6,92.134346
130,-4.737436048,0.061439169,1.016374576,30.6,88.98516
131,-4.354095396,0.065689172,0.895385656,25.9,95.17699
132,-3.151853986,0.075294456,0.828961698,23.3,107.509659
133,-3.70418428,0.078622028,0.857439604,24,106.848206
134,-0.340770386,0.547580892,0.740477527,20.2,104.331917
135,-7.455383328,0.049765072,1.11115772,31.3,108.596596
136,-4.794295446,0.055385772,0.924536625,25.2,114.045235
137,-4.12541137,0.068100984,0.881393992,23.3,106.150642
138,-4.167353156,0.065934542,0.863416303,24.1,105.483063
139,-3.594414384,0.065013939,0.841046225,23.4,103.262367
140,-5.582929059,0.055906917,0.893284415,25.5,99.13905
141,-2.896850955,0.078003448,0.80360612,22.4,100.814278
142,-5.160714855,0.066293633,0.793870992,26.2,104.154037
143,-3.30533348,0.076338189,0.837339747,23.1,98.26977
144,-4.593795348,0.067094126,0.916674821,26.4,97.67023
145,-4.291968279,0.068091067,0.860390097,23.8,103.576149
